X,Y
0.0,-0.005614366
0.03,0.17578296
0.06,0.31333688
0.09,0.3915176
0.12,0.39654332
0.15,0.4322542
0.18,0.4359036
0.21,0.45051453
0.24,0.4574773
0.27,0.48320562
0.3,0.4715653
0.32999999999999996,0.5081779
0.36,0.51773137
0.39,0.48675418
0.42,0.5246989
0.44999999999999996,0.5176927
0.48,0.520133
0.51,0.5366351
0.54,0.5437869
0.57,0.553298
0.6,0.5689307
0.63,0.57499737
0.6599999999999999,0.5675542
0.69,0.5786991
0.72,0.5652906
0.75,0.5835007
0.78,0.57666355
0.8099999999999999,0.59226936
0.84,0.6058544
0.87,0.603549
0.8999999999999999,0.59476054
0.9299999999999999,0.6084115
0.96,0.6102328
0.99,0.6332089
1.02,0.6368824
1.05,0.6222966
1.08,0.66240567
1.1099999999999999,0.6773912
1.14,0.6697792
1.17,0.6785995
1.2,0.6734482
1.23,0.6851708
1.26,0.6932312
1.29,0.7113054
1.3199999999999998,0.72670436
1.3499999999999999,0.72604936
1.38,0.72616947
1.41,0.73760426
1.44,0.7599197
1.47,0.773967
1.5,0.7842469
1.53,0.78759223
1.56,0.8069931
1.5899999999999999,0.8058872
1.6199999999999999,0.811748
1.65,0.8352702
1.68,0.8648059
1.71,0.81463486
1.74,0.8654682
1.77,0.8676996
1.7999999999999998,0.8892515
1.8299999999999998,0.9078102
1.8599999999999999,0.9124503
1.89,0.93425727
1.92,0.9316852
1.95,0.95923877
1.98,0.9402592
2.01,0.9791845
2.04,0.9847104
2.07,0.9870735
2.1,1.0064387
2.13,1.016065
2.16,1.0368898
2.19,1.0222971
2.2199999999999998,1.0644641
2.25,1.0458581
2.28,1.0796732
2.31,1.0812804
2.34,1.104969
2.37,1.1072972
2.4,1.1111739
2.4299999999999997,1.140803
2.46,1.140152
2.4899999999999998,1.1493504
2.52,1.1715562
2.55,1.1484005
2.58,1.1474631
2.61,1.2000288
2.6399999999999997,1.2083313
2.67,1.2284062
2.6999999999999997,1.1954665
2.73,1.2558012
2.76,1.2232665
2.79,1.2602112
2.82,1.2731843
2.85,1.2791067
2.88,1.2839779
2.9099999999999997,1.3157794
2.94,1.2917975
2.9699999999999998,1.334313
3.0,1.3336934
